id,name,publisher,consortium,start_date,end_date
acm2021hebis,ACM OPEN,Association for Computing Machinery,hebis-Konsortium (German Academic Consortium),2021-01-01,2028-12-31
acs2024fak,ACS Read and Publish,American Chemical Society,Friedrich-Althoff-Konsortium e.V.,2024-01-01,2026-12-31
acs2026gac,ACS BBWS,American Chemical Society,"German Academic Consortium administered by Bayerische Staatsbibliothek (participants from Bavaria, Baden-Württemberg and Saxony)",2026-01-01,2026-12-31
aip2024tib,AIP Read & Publish,AIP Publishing,TIB Consortium,2024-01-01,2026-12-31
aps2025tib,Read and Publish License Agreement,American Physical Society,TIB Consortium,2025-01-01,2028-12-31
cam2025gac,Cambridge Journals,Cambridge University Press,"German Academic Consortium, 106 participants, administered by Bayerische Staatsbibliothek",2025-01-01,2027-12-31
compbio2024zbmed,Read and Publish Agreement,The Company of Biologists,ZB MED,2024-01-01,2026-12-31
dgb2026gac,De Gruyter ejournal package HSS + Economics,De Gruyter Brill,"German Academic consortium, 82 participating institutions, administered by SUB Göttingen",2026-01-01,2026-12-31
ecs2026tib,ECS Plus,The Electrochemical Society,TIB Consortium,2026-01-01,2026-12-31
els2023deal,Publish and Read Agreement,Elsevier,Projekt DEAL Consortium,2023-09-01,2028-12-31
eme2026zbw,Emerald Premier Read & Publish Agreement,Emerald,ZBW Leibniz Information Centre for Economics,2026-01-01,2028-12-31
gsl2026zbmed,Geological Society Lyell Collection Read and Publish 2026-2027,The Geological Society of London,ZB MED,2026-01-01,2027-12-01
hogrefe2024gac,Hogrefe PsyJOURNALS,Hogrefe,"German Academic Consortium, 129 participating institutions, administered by SUB Göttingen",2024-01-01,2026-12-31
ieee2024tub,IEL + Open Access Token Account Agreement,IEEE,Technische Universität Berlin,2024-10-16,2026-03-05
ieee2026tub,IEL + Open Access Token Account Agreement,IEEE,Technische Universität Berlin,2026-03-06,2028-03-05
iop2026tib,IOP Transformative Agreement,IOP Publishing,TIB Consortium,2026-01-01,2028-12-31
iwa2024horpk,HARRASSOWITZ Offenes Read & Publish Konsortium für Zeitschriften der International Water Association,IWA Publishing,HARRASSOWITZ Offenes Read & Publish Konsortium,2024-01-01,2026-12-31
kar2024gac,Karger Journals,Karger,"German Academic Consortium, 19 participants, administered by Bayerische Staatsbibliothek",2024-01-01,2026-12-31
microbio2025zbmed,Read and Publish Agreement,Microbiology Society,ZB MED,2025-01-01,2027-12-31
opg2023tib,Optica Publishing Group Consortium Read & Publish License Agreement,Optica Publishing Group,TIB Consortium,2023-01-01,2026-12-31
oxf2024tum,Institutional Read and Publish Agreement,Oxford University Press,Technical University of Munich (TUM),2024-01-01,2026-12-31
oxf2025braunschweig,Institutional Read & Publish Agreement,Oxford University Press,Technische Universität Braunschweig,2025-01-01,2027-12-31
portpress2025tib,Agreement,Portland Press,TIB Consortium,2025-01-01,2027-12-31
rsc2024tib,RSC Platinum Agreement,Royal Society of Chemistry,TIB Consortium,2024-01-01,2027-12-31
rup2024zbmed,Read and Publish Agreement,Rockefeller University Press,ZB MED,2024-01-01,2026-12-31
sage2026gac,Sage Journals,Sage,"German Academic Consortium, 153 participants, administered by Bayerische Staatsbibliothek",2026-01-01,2028-12-31
sn2024deal,Publish and Read Agreement,Springer Nature,Projekt DEAL Consortium,2024-01-01,2028-12-31
sn2025gac,Nature Publish and Read Framework Agreement,Springer Nature,"German library consortium, jointly administered by TIB and MPDL",2025-01-01,2028-12-31
spie2024tib,SPIE DL plus Open Access,SPIE,TIB National Consortium,2024-01-01,2026-12-31
tf2024zbw,Taylor & Francis Journals Open Access Transformative Agreement,Taylor & Francis,ZBW Leibniz Information Centre for Economics,2024-01-01,2026-12-31
trs2026tib,The Royal Society Publishing Read and Publish Agreement,The Royal Society,TIB Consortium,2026-01-01,2026-12-31
ttp2024tib,Scientific.Net Read & Publish Agreement,Trans Tech Publications,TIB Consortium,2024-01-01,2026-12-31
wiley2024deal,Publish and Access Agreement,Wiley,Projekt DEAL Consortium,2024-01-01,2028-12-31
